800,0.0,0.3048,71.3,0.0026634,126.201
1000,0.0,0.3048,71.3,0.0026634,125.201
1250,0.0,0.3048,71.3,0.0026634,125.951
1600,0.0,0.3048,71.3,0.0026634,127.591
2000,0.0,0.3048,71.3,0.0026634,127.461
2500,0.0,0.3048,71.3,0.0026634,125.571
3150,0.0,0.3048,71.3,0.0026634,125.201
4000,0.0,0.3048,71.3,0.0026634,123.061
5000,0.0,0.3048,71.3,0.0026634,121.301
6300,0.0,0.3048,71.3,0.0026634,119.541
8000,0.0,0.3048,71.3,0.0026634,117.151
10000,0.0,0.3048,71.3,0.0026634,115.391
12500,0.0,0.3048,71.3,0.0026634,112.241
16000,0.0,0.3048,71.3,0.0026634,108.721
500,0.0,0.3048,55.5,0.0028308,126.416
630,0.0,0.3048,55.5,0.0028308,127.696
800,0.0,0.3048,55.5,0.0028308,128.086
1000,0.0,0.3048,55.5,0.0028308,126.966
1250,0.0,0.3048,55.5,0.0028308,126.086
1600,0.0,0.3048,55.5,0.0028308,126.986
2000,0.0,0.3048,55.5,0.0028308,126.616
2500,0.0,0.3048,55.5,0.0028308,124.106
3150,0.0,0.3048,55.5,0.0028308,123.236
4000,0.0,0.3048,55.5,0.0028308,121.106
5000,0.0,0.3048,55.5,0.0028308,119.606
6300,0.0,0.3048,55.5,0.0028308,117.976
8000,0.0,0.3048,55.5,0.0028308,116.476
10000,0.0,0.3048,55.5,0.0028308,113.076
12500,0.0,0.3048,55.5,0.0028308,111.076
200,0.0,0.3048,39.6,0.0031014,118.129
250,0.0,0.3048,39.6,0.0031014,119.319
315,0.0,0.3048,39.6,0.0031014,122.779
400,0.0,0.3048,39.6,0.0031014,124.809
500,0.0,0.3048,39.6,0.0031014,126.959
630,0.0,0.3048,39.6,0.0031014,128.629
800,0.0,0.3048,39.6,0.0031014,129.099
1000,0.0,0.3048,39.6,0.0031014,127.899
1250,0.0,0.3048,39.6,0.0031014,125.499
1600,0.0,0.3048,39.6,0.0031014,124.049
2000,0.0,0.3048,39.6,0.0031014,123.689
2500,0.0,0.3048,39.6,0.0031014,121.399
3150,0.0,0.3048,39.6,0.0031014,120.319
4000,0.0,0.3048,39.6,0.0031014,119.229
5000,0.0,0.3048,39.6,0.0031014,117.789
6300,0.0,0.3048,39.6,0.0031014,116.229
8000,0.0,0.3048,39.6,0.0031014,114.779
10000,0.0,0.3048,39.6,0.0031014,112.139
12500,0.0,0.3048,39.6,0.0031014,109.619
200,0.0,0.3048,31.7,0.0033127,117.195
250,0.0,0.3048,31.7,0.0033127,118.595
315,0.0,0.3048,31.7,0.0033127,122.765
400,0.0,0.3048,31.7,0.0033127,125.045
500,0.0,0.3048,31.7,0.0033127,127.315
630,0.0,0.3048,31.7,0.0033127,129.095
800,0.0,0.3048,31.7,0.0033127,129.235
1000,0.0,0.3048,31.7,0.0033127,127.365
1250,0.0,0.3048,31.7,0.0033127,124.355
1600,0.0,0.3048,31.7,0.0033127,122.365
2000,0.0,0.3048,31.7,0.0033127,122.375
2500,0.0,0.3048,31.7,0.0033127,120.755
3150,0.0,0.3048,31.7,0.0033127,119.135
4000,0.0,0.3048,31.7,0.0033127,118.145
5000,0.0,0.3048,31.7,0.0033127,115.645
6300,0.0,0.3048,31.7,0.0033127,113.775
8000,0.0,0.3048,31.7,0.0033127,110.515
10000,0.0,0.3048,31.7,0.0033127,108.265
800,1.5,0.3048,71.3,0.0033673,127.122
1000,1.5,0.3048,71.3,0.0033673,125.992
1250,1.5,0.3048,71.3,0.0033673,125.872
1600,1.5,0.3048,71.3,0.0033673,126.632
2000,1.5,0.3048,71.3,0.0033673,126.642
